quando               | quem        | balcao      | o_que                |   canal_criado/usado 
2015-05-22 18:56:25  | Balcao      | 1           | inicia_mempart       |                    - 
2015-05-22 18:56:25  | Balcao      | 1           | cria_linh_mempart    |             fb_19584 
2015-05-22 18:56:28  | Balcao      | 2           | cria_linh_mempart    |             fb_19585 
2015-05-22 18:56:32  | Client      | 1           | pede_atendimento     |         tmp/fc_19587 
2015-05-22 18:56:32  | Client      | 1           | pede_atendimento     |         tmp/fc_19588 
2015-05-22 18:56:32  | Client      | 2           | pede_atendimento     |         tmp/fc_19589 
2015-05-22 18:56:32  | Balcao      | 1           | inicia_atend_cli     |         tmp/fc_19587 
2015-05-22 18:56:32  | Client      | 2           | pede_atendimento     |         tmp/fc_19596 
2015-05-22 18:56:32  | Balcao      | 1           | inicia_atend_cli     |         tmp/fc_19588 
2015-05-22 18:56:32  | Client      | 2           | pede_atendimento     |         tmp/fc_19597 
2015-05-22 18:56:32  | Client      | 1           | pede_atendimento     |         tmp/fc_19591 
2015-05-22 18:56:32  | Balcao      | 2           | inicia_atend_cli     |         tmp/fc_19589 
2015-05-22 18:56:32  | Client      | 1           | pede_atendimento     |         tmp/fc_19593 
2015-05-22 18:56:32  | Balcao      | 2           | inicia_atend_cli     |         tmp/fc_19597 
2015-05-22 18:56:32  | Client      | 2           | pede_atendimento     |         tmp/fc_19590 
2015-05-22 18:56:32  | Client      | 2           | pede_atendimento     |         tmp/fc_19592 
2015-05-22 18:56:32  | Balcao      | 2           | inicia_atend_cli     |         tmp/fc_19596 
2015-05-22 18:56:32  | Balcao      | 2           | inicia_atend_cli     |         tmp/fc_19590 
2015-05-22 18:56:32  | Client      | 1           | pede_atendimento     |         tmp/fc_19598 
2015-05-22 18:56:32  | Balcao      | 2           | inicia_atend_cli     |         tmp/fc_19592 
2015-05-22 18:56:32  | Balcao      | 1           | inicia_atend_cli     |         tmp/fc_19591 
2015-05-22 18:56:32  | Balcao      | 1           | inicia_atend_cli     |         tmp/fc_19593 
2015-05-22 18:56:32  | Balcao      | 1           | inicia_atend_cli     |         tmp/fc_19598 
2015-05-22 18:56:34  | Balcao      | 1           | fim_atendimento      |         tmp/fc_19587 
2015-05-22 18:56:34  | Balcao      | 1           | fim_atendimento      |         tmp/fc_19588 
2015-05-22 18:56:35  | Balcao      | 2           | fim_atendimento      |         tmp/fc_19589 
2015-05-22 18:56:35  | Balcao      | 2           | fim_atendimento      |         tmp/fc_19597 
2015-05-22 18:56:36  | Balcao      | 2           | fim_atendimento      |         tmp/fc_19596 
2015-05-22 18:56:36  | Balcao      | 1           | fim_atendimento      |         tmp/fc_19591 
2015-05-22 18:56:37  | Balcao      | 2           | fim_atendimento      |         tmp/fc_19590 
2015-05-22 18:56:37  | Balcao      | 2           | fim_atendimento      |         tmp/fc_19592 
2015-05-22 18:56:37  | Balcao      | 1           | fim_atendimento      |         tmp/fc_19593 
2015-05-22 18:56:37  | Balcao      | 1           | fim_atendimento      |         tmp/fc_19598 
2015-05-22 18:56:45  | Balcao      | 1           | fecha_balcao         |                  shm 
2015-05-22 18:56:48  | Balcao      | 2           | fecha_balcao         |                  shm 
2015-05-22 18:56:48  | Balcao      | 2           | fecha_loja           |               (null) 
